x,y,z,grid_size,area
657040.3593,959295.0,1382.131,30.0,900.0
657040.3593,959265.0,1387.8578,30.0,900.0
657040.3593,959235.0,1389.4929,30.0,900.0
657040.3593,959205.0,1389.6552,30.0,900.0
657040.3593,959175.0,1389.3687,30.0,900.0
657040.3593,959145.0,1389.0956,30.0,900.0
657040.3593,959115.0,1388.8964,30.0,900.0
657040.3593,959085.0,1388.7358,30.0,900.0
657040.3593,959055.0,1388.7057,30.0,900.0
657040.3593,959025.0,1388.7438,30.0,900.0
657040.3593,958995.0,1389.0492,30.0,900.0
657040.3593,958965.0,1389.668,30.0,900.0
657040.3593,958935.0,1390.7135,30.0,900.0
657070.3593,963885.0,1406.7234,4950.0,24502500.0
657070.3593,963855.0,1406.5571,30.0,900.0
657070.3593,963825.0,1404.9662,30.0,900.0
657070.3593,963795.0,1404.8021,30.0,900.0
657070.3593,963765.0,1405.6534,30.0,900.0
657070.3593,963735.0,1405.6764,30.0,900.0
657070.3593,963705.0,1405.4038,30.0,900.0
657070.3593,963675.0,1403.9801,30.0,900.0
657070.3593,963645.0,1403.745,30.0,900.0
657070.3593,963615.0,1404.1923,30.0,900.0
657070.3593,963585.0,1404.1484,30.0,900.0
657070.3593,963555.0,1404.0667,30.0,900.0
657070.3593,963525.0,1403.634,30.0,900.0
657070.3593,963495.0,1403.5197,30.0,900.0
657070.3593,963465.0,1403.4194,30.0,900.0
657070.3593,963435.0,1403.515,30.0,900.0
657070.3593,963405.0,1403.6887,30.0,900.0
657070.3593,963375.0,1403.5468,30.0,900.0
657070.3593,963345.0,1402.4927,30.0,900.0
657070.3593,963315.0,1402.0679,30.0,900.0
657070.3593,963285.0,1401.9742,30.0,900.0
657070.3593,963255.0,1401.8115,30.0,900.0
657070.3593,963225.0,1399.2014,30.0,900.0
657070.3593,963195.0,1399.5366,30.0,900.0
657070.3593,963165.0,1399.5708,30.0,900.0
657070.3593,963135.0,1399.0845,30.0,900.0
657070.3593,963105.0,1399.5718,30.0,900.0
657070.3593,963075.0,1398.3334,30.0,900.0
657070.3593,963045.0,1396.0341,30.0,900.0
657070.3593,963015.0,1396.9731,30.0,900.0
657070.3593,962985.0,1397.1213,30.0,900.0
657070.3593,962955.0,1397.2935,30.0,900.0
657070.3593,962925.0,1397.0697,30.0,900.0
657070.3593,962895.0,1397.1565,30.0,900.0
657070.3593,962865.0,1396.8541,30.0,900.0
657070.3593,962835.0,1396.7462,30.0,900.0
657070.3593,962805.0,1396.5996,30.0,900.0
657070.3593,962775.0,1396.2181,30.0,900.0
657070.3593,962745.0,1395.9512,30.0,900.0
657070.3593,962715.0,1395.9325,30.0,900.0
657070.3593,962685.0,1395.9054,30.0,900.0
